user_id,movie_id,rating
466,195,4
347,318,3
224,518,1
296,114,5
311,526,5
890,1149,5
666,385,3
428,268,4
235,7,4
167,521,5
483,290,3
235,435,5
393,172,5
537,425,3
158,190,5
291,715,5
417,498,4
308,434,4
545,69,4
311,323,3
311,794,4
436,986,3
416,710,4
208,781,3
682,125,4
645,709,3
315,746,3
222,465,2
601,125,1
254,164,4
413,283,5
23,202,3
303,654,5
536,62,4
343,727,4
537,506,3
548,466,5
844,90,3
187,582,1
64,1140,1
774,1419,1
500,282,4
368,145,2
122,197,5
456,544,3
551,203,5
400,749,4
936,285,4
774,53,4
734,751,4
44,474,4
184,405,2
434,225,4
553,485,3
262,631,4
532,946,5
200,358,5
881,72,2
592,409,1
642,871,3
453,1157,2
314,117,4
417,180,5
312,520,5
758,580,4
237,513,5
537,170,3
703,288,4
496,426,3
624,3,3
515,322,3
233,633,5
143,328,4
353,750,4
293,479,4
13,739,4
267,1035,4
752,904,4
406,420,4
92,82,2
826,68,3
293,166,3
43,625,4
707,224,4
331,160,5
463,246,4
22,127,5
682,281,3
378,546,2
90,425,4
164,322,4
682,809,2
871,50,5
513,50,5
682,687,2
886,63,3
56,226,4
493,833,2
919,118,4
62,3,3
495,1,4
722,756,3
178,549,4
838,568,4
537,660,3
867,176,3
590,287,4
520,1028,1
743,294,2
425,273,4
488,64,5
194,132,3
379,524,4
354,311,5
563,210,4
393,541,3
624,125,3
650,234,4
308,21,3
419,223,4
44,118,3
422,288,3
784,334,3
222,577,1
201,471,2
692,204,5
648,671,3
267,202,5
894,303,4
49,813,3
898,242,4
6,143,2
275,423,4
249,568,4
54,298,4
200,1091,4
715,591,4
541,877,1
151,26,3
480,319,3
21,327,3
750,304,4
119,823,3
739,97,5
741,435,4
60,638,5
562,504,4
181,828,1
452,482,5
143,313,5
7,62,3
314,812,4
459,685,3
489,688,2
336,1017,5
445,1,3
299,588,4
555,302,3
445,546,2
397,327,2
924,705,5
690,649,4
180,372,5
763,1,4
268,201,3
269,143,3
478,96,2
833,432,4
437,1091,3
102,182,3
269,106,1
87,577,4
387,100,5
163,326,3
397,243,1
428,322,4
738,665,2
606,238,4
417,373,3
321,20,3
919,323,4
860,846,2
160,273,5
373,81,2
116,1220,2
721,263,3
363,7,3
94,194,4
328,291,4
493,1016,4
389,608,3
497,252,3
682,3,3
303,960,4
645,65,4
910,24,3
305,327,3
59,277,4
942,79,5
544,325,1
145,281,4
585,190,4
140,286,5
437,211,4
587,264,4
830,399,5
532,636,5
873,259,1
648,758,2
126,337,5
460,302,4
889,121,4
774,105,1
326,503,3
20,144,2
693,655,3
261,410,5
650,63,2
352,100,4
707,8,5
784,315,4
130,1019,4
128,531,4
796,480,4
374,443,5
218,183,5
911,172,4
883,302,5
796,578,4
500,762,4
161,274,2
586,27,3
472,229,5
932,639,5
190,245,4
943,816,4
303,1228,2
639,692,3
71,50,3
229,315,1
116,195,4
539,204,4
639,471,2
263,58,4
495,155,3
733,286,4
95,715,1
613,1,4
907,483,4
645,81,4
387,173,4
6,471,2
437,218,2
327,895,3
758,127,5
151,7,4
542,959,3
296,1160,4
674,742,5
806,17,4
381,607,4
896,452,3
801,890,2
591,300,3
429,228,2
856,310,3
181,100,3
151,328,3
303,91,5
268,388,1
572,1137,3
864,217,4
380,729,3
658,56,5
454,526,4
315,31,3
805,195,3
642,1054,3
608,1124,4
406,509,3
349,106,1
627,121,3
751,56,4
588,143,5
389,474,5
180,12,2
712,560,3
551,508,4
581,936,3
913,729,3
625,174,4
825,12,5
880,577,3
339,134,5
308,664,5
340,95,5
605,357,5
502,892,2
842,324,4
241,294,3
90,302,5
218,654,4
116,806,4
54,151,2
773,769,1
942,479,4
561,77,1
224,893,3
829,125,3
194,72,3
378,1063,4
417,184,4
234,500,3
244,145,3
882,143,4
622,101,5
193,161,3
889,54,3
917,278,3
560,255,4
313,167,3
255,748,1
514,228,5
899,588,3
627,735,4
436,400,3
462,326,4
94,159,3
395,515,4
423,628,4
268,123,3
90,1101,4
301,142,3
658,178,5
92,928,3
527,23,5
201,825,1
397,223,4
7,620,4
76,582,3
532,235,3
504,237,3
186,925,5
104,591,4
378,269,4
882,105,3
336,168,5
222,944,3
332,265,4
537,539,1
194,1107,3
864,188,3
346,394,4
903,180,5
806,192,4
207,997,1
624,1028,3
49,111,2
523,638,4
498,754,2
534,1,5
407,448,4
380,176,3
394,12,4
307,173,5
159,1013,4
524,322,4
679,727,4
828,6,1
271,148,3
715,1215,1
293,135,5
320,433,4
653,403,2
395,866,3
760,216,2
806,89,5
91,601,4
263,543,5
450,229,4
263,183,4
592,132,5
114,171,4
167,1225,3
639,971,4
653,227,3
711,345,4
682,403,3
284,301,5
429,820,3
338,990,4
312,639,5
674,405,4
693,333,3
882,96,4
659,521,5
403,370,3
154,242,3
561,172,2
737,58,4
823,12,4
254,1133,3
897,926,4
378,15,4
321,197,5
474,89,5
102,546,3
17,100,4
399,946,3
468,357,5
650,180,3
894,273,3
13,750,5
795,425,3
551,280,3
846,655,3
72,182,5
883,553,4
677,290,1
468,226,2
291,159,4
194,177,3
216,652,4
334,248,4
59,77,4
363,366,2
96,87,4
774,234,2
311,720,3
625,751,4
617,184,1
878,82,3
682,164,3
254,64,4
831,294,4
639,1101,3
62,511,4
151,584,3
941,1007,4
330,465,5
805,419,4
64,239,3
630,123,4
474,929,3
655,425,3
286,1182,2
524,751,4
406,405,3
839,7,2
618,12,4
938,1,4
130,216,4
117,174,4
131,14,5
368,441,3
883,513,5
551,693,5
884,198,5
90,707,5
343,67,3
833,32,5
716,491,4
489,270,4
201,61,2
399,1314,3
642,386,5
99,358,2
130,888,3
758,192,4
804,826,3
178,31,4
417,158,2
366,445,5
663,676,3
453,143,2
705,393,4
279,763,3
487,742,5
262,476,3
379,79,5
648,743,1
7,54,3
416,204,5
345,143,5
864,317,4
450,50,5
319,350,3
642,151,3
648,781,4
745,507,1
244,50,5
758,276,2
867,183,3
655,435,2
613,576,3
49,219,1
590,14,5
405,429,5
648,118,4
833,840,2
263,215,4
854,735,3
308,678,3
847,13,3
417,11,5
13,811,5
934,617,4
738,233,3
892,162,4
904,9,4
312,186,3
394,423,5
94,1,4
716,49,4
230,432,4
660,281,3
293,160,4
411,651,4
416,4,4
699,147,2
533,291,3
615,678,1
343,79,4
380,182,3
785,174,5
314,934,4
13,132,4
650,423,3
786,230,4
504,731,3
5,176,3
493,273,4
929,480,3
544,338,2
158,250,4
248,168,4
244,475,4
606,12,2
416,7,4
92,727,4
588,378,3
755,286,5
59,218,5
451,872,2
833,293,4
7,125,4
184,15,3
249,117,4
665,15,4
911,142,4
323,295,3
223,620,2
301,249,3
711,699,5
321,198,4
181,1028,2
308,482,5
654,418,4
186,226,5
321,60,4
684,477,5
297,237,4
184,52,4
360,13,3
276,624,2
251,121,4
854,632,4
543,302,4
207,712,4
634,147,2
653,732,2
642,628,3
292,79,5
880,307,4
811,901,4
141,871,3
345,762,5
924,13,3
184,845,3
58,98,4
178,222,4
379,197,5
722,823,3
497,566,3
790,436,4
874,654,5
541,143,4
291,578,4
236,595,3
190,354,4
667,651,5
413,301,3
864,191,4
139,1176,4
287,250,3
178,1119,4
59,71,3
344,535,3
249,411,3
504,53,4
26,316,3
607,238,4
256,716,5
500,1047,3
883,83,3
500,729,4
318,269,5
911,427,3
332,763,5
64,284,4
538,188,4
608,693,3
425,573,3
201,1211,3
398,178,5
77,519,5
43,153,5
763,212,4
92,124,4
643,716,3
360,328,3
889,271,3
276,192,5
864,283,5
470,824,4
234,732,2
255,829,1
670,8,4
911,374,1
479,205,3
749,686,4
602,880,4
751,742,3
6,467,4
428,272,5
21,262,4
504,219,3
253,591,3
49,652,5
2,285,5
347,258,4
301,521,3
699,9,2
750,688,1
829,339,2
863,313,5
474,530,5
74,137,3
263,484,4
527,855,2
373,705,4
745,98,5
716,1050,4
294,111,4
115,696,4
543,70,4
484,7,4
292,181,4
682,619,3
64,188,4
558,14,4
468,55,5
268,55,4
848,633,3
393,40,1
22,110,1
256,181,4
356,313,5
298,186,4
380,435,3
275,432,4
214,180,5
880,316,5
880,293,4
524,708,4
472,916,5
763,238,4
128,690,3
175,193,4
493,89,4
332,820,4
561,181,3
345,451,5
201,150,4
889,7,3
521,154,2
899,414,2
606,1011,3
472,501,3
339,5,3
389,194,4
643,405,3
666,91,3
394,24,5
406,485,3
522,521,5
478,276,5
83,2,4
387,180,4
6,479,5
106,699,4
543,466,4
416,1226,3
330,151,4
437,702,1
850,8,5
358,268,3
286,214,1
95,228,4
671,66,5
394,101,4
566,1044,3
316,463,5
216,15,3
297,527,5
903,25,4
621,721,4
758,291,4
308,273,2
846,616,3
666,288,3
244,428,4
474,648,4
910,134,3
244,941,4
852,681,4
346,177,4
843,215,2
807,210,4
277,473,2
782,127,4
809,319,3
483,612,3
721,175,5
308,322,2
94,83,4
618,275,3
305,79,3
846,195,4
328,133,5
69,763,3
682,238,3
551,1207,1
883,1131,5
664,306,4
62,464,4
815,258,4
825,137,2
321,530,4
854,286,1
416,232,5
5,204,4
864,11,5
345,216,5
92,825,4
450,489,4
450,673,3
887,1035,5
727,378,3
514,191,5
661,258,4
835,205,3
275,450,3
487,289,2
339,436,4
776,134,4
472,715,4
387,99,5
56,193,5
455,393,3
676,326,2
524,203,4
892,144,5
486,874,3
276,238,5
942,300,5
255,455,2
313,237,2
874,137,4
43,26,5
59,597,2
930,137,2
751,655,3
539,306,4
789,591,3
796,1032,3
222,73,4
174,623,3
214,175,5
795,1110,3
655,694,3
462,328,5
406,521,3
586,241,4
653,708,2
771,462,3
326,199,5
790,216,5
648,474,4
177,469,4
174,648,5
601,238,2
586,215,4
585,509,4
161,473,1
716,160,2
494,603,3
303,408,4
515,538,3
320,172,4
361,23,5
13,771,3
195,276,4
387,324,4
844,326,3
846,89,5
295,105,4
656,322,1
158,244,4
463,1284,4
402,168,5
348,831,4
916,244,4
399,179,3
444,269,4
89,732,5
556,482,5
877,226,3
650,235,3
643,2,3
447,157,4
83,204,5
727,1185,1
363,120,1
171,690,3
326,521,2
351,245,3
593,58,4
76,1006,3
712,142,4
776,431,4
170,326,5
764,86,3
595,845,3
717,312,5
267,789,5
599,595,5
299,166,4
496,277,5
456,403,2
207,58,3
436,845,5
535,211,4
851,336,4
621,55,5
380,750,4
201,271,4
109,527,3
450,435,4
524,657,4
17,237,2
553,378,3
192,277,3
63,79,3
864,128,4
65,255,3
106,88,3
181,294,2
244,161,4
715,412,2
93,125,1
543,176,4
292,98,5
116,302,3
378,768,4
940,792,2
560,1019,4
842,288,3
160,21,1
7,452,5
303,29,2
804,629,3
503,659,5
303,168,5
660,249,2
297,143,5
222,651,4
275,230,3
244,191,5
460,307,4
18,221,5
640,336,3
130,237,5
394,568,5
938,472,4
599,748,4
650,510,3
901,443,3
344,283,4
452,458,1
177,963,4
42,111,1
710,210,4
897,208,5
660,191,4
453,941,2
747,985,2
478,743,1
406,671,5
552,845,3
908,173,3
286,172,4
378,1,4
62,171,4
339,582,4
59,191,4
675,1007,4
618,568,4
854,86,3
932,1020,5
593,97,4
421,302,4
145,1245,5
181,933,1
489,328,4
878,8,3
416,690,5
1,139,3
484,71,2
181,748,1
256,1061,4
646,682,3
683,354,3
715,182,5
373,392,4
592,825,1
682,737,3
904,815,4
299,151,4
924,56,3
795,210,4
557,58,4
779,879,3
360,258,4
398,591,3
263,79,4
279,62,3
276,1232,3
239,650,5
236,211,3
69,1143,5
885,72,1
881,13,4
635,246,5
435,1028,2
699,825,3
751,121,4
655,847,2
300,288,4
187,792,5
398,1126,4
747,783,1
892,186,3
58,8,4
339,856,5
405,659,4
325,614,4
311,132,4
354,710,4
58,70,4
84,866,4
474,491,4
271,498,5
650,435,4
200,24,2
504,462,4
309,331,5
942,879,4
344,169,5
238,111,4
286,781,4
59,243,1
145,1291,3
751,382,3
89,880,5
833,641,4
435,135,3
13,568,3
97,428,4
780,174,5
406,674,4
279,269,4
184,382,5
504,180,4
844,24,5
301,403,4
19,268,2
374,64,5
518,10,3
641,558,5
844,471,3
533,527,4
650,141,4
314,772,1
16,9,5
13,174,4
74,129,3
749,843,3
727,201,4
438,269,4
786,703,3
314,697,3
120,258,5
894,534,4
379,636,3
450,926,4
907,472,5
125,79,5
804,615,5
900,280,2
850,519,4
312,730,3
334,425,4
354,216,3
392,244,3
378,194,4
145,1001,4
23,181,4
30,315,4
453,229,2
625,286,4
417,1086,4
757,155,2
383,517,5
158,100,5
881,134,5
493,528,5
279,184,5
542,693,4
543,636,3
653,164,3
699,95,3
459,989,5
271,48,4
65,185,4
387,210,4
642,1152,5
658,844,3
537,414,4
299,478,4
437,417,5
593,66,5
585,340,2
472,597,5
472,2,5
181,879,2
87,385,5
660,163,2
533,275,4
215,185,4
276,204,5
118,132,4
649,1016,4
216,673,4
776,670,3
82,211,4
514,710,5
524,823,4
454,134,3
334,506,3
225,136,5
892,222,4
405,658,4
239,114,3
281,288,4
943,2,5
636,25,5
758,831,4
60,593,5
434,1095,5
854,144,3
437,436,4
751,472,2
720,269,3
378,597,3
195,55,4
479,436,4
642,790,4
757,665,3
892,274,4
727,401,2
881,94,2
874,346,3
705,8,3
880,595,1
781,268,2
345,66,3
151,662,4
141,335,1
498,251,3
807,484,4
429,288,3
39,301,3
157,290,4
224,1045,2
798,801,3
372,234,5
406,631,5
453,451,2
823,216,5
210,185,4
804,181,5
487,783,4
453,651,4
158,56,5
72,1,4
158,182,5
916,28,4
64,212,3
726,1038,2
343,48,3
12,168,4
488,178,4
452,404,4
297,629,3
297,27,1
919,1109,3
30,69,5
889,650,2
457,190,5
257,166,4
427,881,5
892,625,3
234,792,4
796,755,4
687,988,3
407,255,4
181,841,1
18,224,5
485,245,3
416,418,4
58,483,5
667,272,5
85,286,4
746,64,4
529,333,4
13,28,5
533,134,4
256,187,3
262,786,3
788,199,5
463,1012,2
102,565,2
648,164,4
549,472,3
295,843,4
852,25,3
830,510,4
789,1007,4
896,470,2
796,586,3
497,82,4
1,232,3
663,98,5
521,268,5
767,172,5
721,191,3
472,97,3
206,1062,3
794,238,5
389,210,2
498,228,2
697,181,4
189,238,5
805,231,3
640,202,5
790,546,1
470,248,3
859,293,4
295,91,5
883,387,5
7,429,5
435,358,4
291,1303,3
312,181,4
905,458,4
790,10,1
697,122,4
529,326,4
248,234,4
433,322,2
112,354,3
73,82,2
862,544,5
248,117,5
291,410,5
705,233,3
454,736,3
798,432,4
493,1126,2
889,483,4
244,268,5
932,515,4
196,94,3
95,712,2
141,293,2
657,346,4
495,380,3
442,219,3
164,291,5
682,188,4
405,1225,1
16,385,5
533,568,5
279,31,3
456,588,3
28,760,3
661,498,5
545,55,3
889,9,4
85,1131,4
554,218,4
615,509,4
699,1163,5
710,95,3
193,627,4
741,17,2
297,1007,4
417,257,3
13,306,3
246,585,1
38,383,2
160,32,5
290,21,3
279,1039,4
719,382,2
214,127,4
908,7,3
908,482,3
